p1_pattern,p2_pattern,p1_choice,p2_choice,p1_win%_tricks,p2_win%_tricks,tricks_tie%,p1_win%_cards,p2_win%_cards,cards_tie%,tricks_total,cards_total
RRR,RRB,000,001,40.3843%,44.1209%,15.4948%,47.1697%,50.8423%,1.9880%,1000000,1000000
RRR,RBR,000,010,21.1206%,66.5109%,12.3685%,27.6367%,70.7312%,1.6321%,1000000,1000000
RRR,RBB,000,011,11.2641%,76.9078%,11.8281%,17.6640%,80.3178%,2.0182%,1000000,1000000
RRR,BRR,000,100,0.1131%,99.4841%,0.4028%,0.0009%,99.9983%,0.0008%,1000000,1000000
RRR,BRB,000,101,16.8425%,69.3933%,13.7642%,25.2571%,72.6052%,2.1377%,1000000,1000000
RRR,BBR,000,110,0.8454%,96.7087%,2.4459%,0.9537%,98.7829%,0.2634%,1000000,1000000
RRR,BBB,000,111,32.5133%,32.5271%,34.9596%,48.5974%,48.5095%,2.8931%,1000000,1000000
RRB,RRR,001,000,44.1209%,40.3843%,15.4948%,50.8423%,47.1697%,1.9880%,1000000,1000000
RRB,RBR,001,010,80.0841%,11.6078%,8.3081%,86.3001%,12.3868%,1.3131%,1000000,1000000
RRB,RBB,001,011,88.3090%,5.1786%,6.5124%,95.5714%,3.5903%,0.8383%,1000000,1000000
RRB,BRR,001,100,2.6019%,93.5476%,3.8505%,0.1936%,99.7570%,0.0494%,1000000,1000000
RRB,BRB,001,101,79.3005%,11.2971%,9.4024%,91.7805%,6.8369%,1.3826%,1000000,1000000
RRB,BBR,001,110,41.0705%,40.8762%,18.0533%,47.8854%,47.7121%,4.4025%,1000000,1000000
RRB,BBB,001,111,96.7338%,0.8373%,2.4289%,98.7866%,0.9476%,0.2658%,1000000,1000000
RBR,RRR,010,000,66.5109%,21.1206%,12.3685%,70.7312%,27.6367%,1.6321%,1000000,1000000
RBR,RRB,010,001,11.6078%,80.0841%,8.3081%,12.3868%,86.3001%,1.3131%,1000000,1000000
RBR,RBB,010,011,43.2291%,43.1016%,13.6693%,48.6552%,48.4772%,2.8676%,1000000,1000000
RBR,BRR,010,100,42.3950%,44.1882%,13.4168%,42.0980%,55.7268%,2.1752%,1000000,1000000
RBR,BRB,010,101,40.6926%,40.5575%,18.7499%,48.7765%,48.8081%,2.4154%,1000000,1000000
RBR,BBR,010,110,11.3810%,79.1507%,9.4683%,6.8756%,91.7538%,1.3706%,1000000,1000000
RBR,BBB,010,111,69.4401%,16.7935%,13.7664%,72.6663%,25.2138%,2.1199%,1000000,1000000
RBB,RRR,011,000,76.9078%,11.2641%,11.8281%,80.3178%,17.6640%,2.0182%,1000000,1000000
RBB,RRB,011,001,5.1786%,88.3090%,6.5124%,3.5903%,95.5714%,0.8383%,1000000,1000000
RBB,RBR,011,010,43.1016%,43.2291%,13.6693%,48.4772%,48.6552%,2.8676%,1000000,1000000
RBB,BRR,011,100,43.1112%,43.2469%,13.6419%,48.5058%,48.6198%,2.8744%,1000000,1000000
RBB,BRB,011,101,44.2316%,42.3398%,13.4286%,55.8065%,42.0362%,2.1573%,1000000,1000000
RBB,BBR,011,110,93.5322%,2.6182%,3.8496%,99.7618%,0.1898%,0.0484%,1000000,1000000
