p1_choice, p2_choice, trick_ties, p1_trick_wins, p1_trick_loss, card_ties, p1_card_wins, p1_card_loss
000,001,154948,403843,441209,19880,471697,508423
000,010,123685,211206,665109,16321,276367,707312
000,011,118281,112641,769078,20182,176640,803178
000,100,4028,1131,994841,8,9,999983
000,101,137642,168425,693933,21377,252571,726052
000,110,24459,8454,967087,2634,9537,987829
000,111,349596,325133,325271,28931,485974,485095
001,000,154948,441209,403843,19880,508423,471697
001,010,83081,800841,116078,13131,863001,123868
001,011,65124,883090,51786,8383,955714,35903
001,100,38505,26019,935476,494,1936,997570
001,101,94024,793005,112971,13826,917805,68369
001,110,180533,410705,408762,44025,478854,477121
001,111,24289,967338,8373,2658,987866,9476
010,000,123685,665109,211206,16321,707312,276367
010,001,83081,116078,800841,13131,123868,863001
010,011,136693,432291,431016,28676,486552,484772
010,100,134168,423950,441882,21752,420980,557268
010,101,187499,406926,405575,24154,487765,488081
010,110,94683,113810,791507,13706,68756,917538
010,111,137664,694401,167935,21199,726663,252138
011,000,118281,769078,112641,20182,803178,176640
011,001,65124,51786,883090,8383,35903,955714
011,010,136693,431016,432291,28676,484772,486552
011,100,136419,431112,432469,28744,485058,486198
011,101,134286,442316,423398,21573,558065,420362
011,110,38496,935322,26182,484,997618,1898
011,111,4011,994930,1059,4,999981,15
100,000,4028,994841,1131,8,999983,9
100,001,38505,935476,26019,494,997570,1936
100,010,134168,441882,423950,21752,557268,420980
100,011,136419,432469,431112,28744,486198,485058
100,101,136568,431753,431679,28762,485721,485517
100,110,65466,52428,882106,8274,36424,955302
100,111,117777,769723,112500,20166,803639,176195
101,000,137642,693933,168425,21377,726052,252571
101,001,94024,112971,793005,13826,68369,917805
101,010,187499,405575,406926,24154,488081,487765
101,011,134286,423398,442316,21573,420362,558065
101,100,136568,431679,431753,28762,485517,485721
101,110,82633,116483,800884,13137,124261,862602
101,111,122982,665079,211939,16228,706775,276997
110,000,24459,967087,8454,2634,987829,9537
110,001,180533,408762,410705,44025,477121,478854
110,010,94683,791507,113810,13706,917538,68756
110,011,38496,26182,935322,484,1898,997618
110,100,65466,882106,52428,8274,955302,36424
110,101,82633,800884,116483,13137,862602,124261
110,111,154645,440456,404899,20183,508087,471730
111,000,349596,325271,325133,28931,485095,485974
111,001,24289,8373,967338,2658,9476,987866
111,010,137664,167935,694401,21199,252138,726663
111,011,4011,1059,994930,4,15,999981
111,100,117777,112500,769723,20166,176195,803639
111,101,122982,211939,665079,16228,276997,706775
111,110,154645,404899,440456,20183,471730,508087
